Bac_DnaA PF00308.18 MT_RS00005
Bac_DnaA_C PF08299.11 MT_RS00005
IstB_IS21 PF01695.17 MT_RS00005
AAA PF00004.29 MT_RS00005
DNA_pol3_beta PF00712.19 MT_RS00010
DNA_pol3_beta_2 PF02767.16 MT_RS00010
DNA_pol3_beta_3 PF02768.15 MT_RS00010
SMC_N PF02463.19 MT_RS00015
AAA_23 PF13476.6 MT_RS00015
DciA PF05258.12 MT_RS00020
DNA_gyraseB PF00204.25 MT_RS00025
DNA_gyraseB_C PF00986.21 MT_RS00025
HATPase_c PF02518.26 MT_RS00025
Toprim PF01751.22 MT_RS00025
DNA_topoisoIV PF00521.20 MT_RS00030
DNA_gyraseA_C PF03989.13 MT_RS00030
DNA_gyraseA_C PF03989.13 MT_RS00030
DNA_gyraseA_C PF03989.13 MT_RS00030
DNA_gyraseA_C PF03989.13 MT_RS00030
DNA_gyraseA_C PF03989.13 MT_RS00030
DNA_gyraseA_C PF03989.13 MT_RS00030
DUF3566 PF12089.8 MT_RS00035
CwsA PF10814.8 MT_RS00055
Pro_isomerase PF00160.21 MT_RS00060
bPH_6 PF10756.9 MT_RS00065
CrgA PF06781.12 MT_RS00070
DUF881 PF05949.12 MT_RS00075
GATase PF00117.28 MT_RS00080
Peptidase_C26 PF07722.13 MT_RS00080
PASTA PF03793.19 MT_RS00085
PASTA PF03793.19 MT_RS00085
PASTA PF03793.19 MT_RS00085
PASTA PF03793.19 MT_RS00085
Pkinase PF00069.25 MT_RS00085
Pkinase_Tyr PF07714.17 MT_RS00085
Pkinase PF00069.25 MT_RS00090
Pkinase_Tyr PF07714.17 MT_RS00090
Kdo PF06293.14 MT_RS00090
Transpeptidase PF00905.22 MT_RS00095
FTSW_RODA_SPOVE PF01098.19 MT_RS00100
PP2C_2 PF13672.6 MT_RS00105
PP2C PF00481.21 MT_RS00105
Yop-YscD_cpl PF16697.5 MT_RS00110
FHA PF00498.26 MT_RS00110
DUF3662 PF12401.8 MT_RS00115
FHA PF00498.26 MT_RS00115
Yop-YscD_cpl PF16697.5 MT_RS00115
NMO PF03060.15 MT_RS00125
NMO PF03060.15 MT_RS00125
FMN_dh PF01070.18 MT_RS00125
Whib PF02467.16 MT_RS00130
HTH_3 PF01381.22 MT_RS00135
HTH_31 PF13560.6 MT_RS00135
NLPC_P60 PF00877.19 MT_RS00140
DUF4226 PF10774.9 MT_RS00145
DUF4226 PF10774.9 MT_RS00150
T7SS_ESX_EspC PF10824.8 MT_RS00155
DUF2694 PF10904.8 MT_RS00160
DUF5631 PF18645.1 MT_RS20620
DUF5632 PF18646.1 MT_RS20620
DUF2710 PF10921.8 MT_RS00170
Aminotran_1_2 PF00155.21 MT_RS00180
Acetyltransf_6 PF13480.7 MT_RS00180
Beta_elim_lyase PF01212.21 MT_RS00180
DegT_DnrJ_EryC1 PF01041.17 MT_RS00180
