GENE	Glycerol_5.7	Glycerol_7	Pyruvate_5.7	Pyruvate_7	Pfam	GO
MT_RS00005	106.0542	314.5750	173.0920	237.8235	AAA,Bac_DnaA,Bac_DnaA_C,IstB_IS21	GO:0005524,GO:0006270,GO:0006275,GO:0043565
MT_RS00010	128.9815	243.9095	184.8480	208.7100	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3	GO:0003677,GO:0003887,GO:0006260,GO:0008408,GO:0009360
MT_RS00015	32.2150	42.6219	42.1174	33.6780	AAA_23,SMC_N	
MT_RS00020	77.4342	95.4774	81.4021	79.0631	DciA	
MT_RS00025	326.5180	309.6865	318.9515	274.1600	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim	GO:0003677,GO:0003918,GO:0005524,GO:0006265
MT_RS00030	263.7685	271.5500	278.9960	244.5060	DNA_gyraseA_C,DNA_topoisoIV	GO:0003677,GO:0003916,GO:0003918,GO:0005524,GO:0006265
MT_RS00035	165.9535	200.4295	213.7435	182.7295	DUF3566	
MT_RS00050	0.0000	0.0000	0.0000	0.0000		
MT_RS00055	108.4240	188.3470	154.3880	211.6495	CwsA	
MT_RS00060	952.9700	2469.6200	1821.4750	2516.9750	Pro_isomerase	GO:0000413,GO:0003755
MT_RS00065	128.3030	309.9825	171.9585	250.7445	bPH_6	
MT_RS00070	44.9792	65.0551	50.1570	45.6412	CrgA	
MT_RS00075	283.0595	338.3600	293.5955	351.9445	DUF881	
MT_RS00080	118.2540	171.9010	175.4210	173.6750	GATase,Peptidase_C26	GO:0016787
MT_RS00085	91.5989	142.9215	119.4715	112.5379	PASTA,Pkinase,Pkinase_Tyr	GO:0004672,GO:0005524,GO:0006468
MT_RS00090	185.8250	262.3050	206.7175	218.0470	Kdo,Pkinase,Pkinase_Tyr	GO:0004672,GO:0005524,GO:0006468
MT_RS00095	94.5082	178.1675	131.9570	154.2785	Transpeptidase	GO:0008658
MT_RS00100	106.2503	192.4260	138.0565	165.3640	FTSW_RODA_SPOVE	GO:0016021,GO:0051301
MT_RS00105	149.1515	236.8505	172.5910	195.2380	PP2C,PP2C_2	GO:0003824
MT_RS00110	203.0620	377.8085	264.0350	310.1830	FHA,Yop-YscD_cpl	GO:0005515
MT_RS00115	543.3420	724.9185	621.2755	679.9595	DUF3662,FHA,Yop-YscD_cpl	GO:0005515
MT_RS00125	46.3551	62.1400	61.0550	57.7661	FMN_dh,NMO	GO:0016491,GO:0018580,GO:0055114
MT_RS00130	15.5895	47.1343	28.6151	41.1677	Whib	
MT_RS00135	79.8015	126.8545	106.2889	95.4443	HTH_3,HTH_31	
MT_RS00140	106.1910	165.3670	139.1570	145.7240	NLPC_P60	
MT_RS00145	280.8630	509.7845	405.5725	445.4290	DUF4226	
MT_RS00150	48.6556	68.3089	62.1219	61.8548	DUF4226	
MT_RS00155	261.5685	139.6945	204.3590	198.5650	T7SS_ESX_EspC	GO:0009306
MT_RS00160	127.9895	81.2834	85.5946	87.7883	DUF2694	
MT_RS00170	313.5010	428.4280	401.0485	397.6035	DUF2710	
MT_RS00175	0.0000	0.0000	0.0000	0.0000		
