GENE	Glycerol_5.7_r1	Glycerol_5.7_r2	Glycerol_7_r1	Glycerol_7_r2	Pyruvate_5.7_r1	Pyruvate_5.7_r2	Pyruvate_7_r1	Pyruvate_7_r2	Pfam	GO
MT_RS00005	94.7715	117.337	370.313	258.837	165.905	180.279	261.549	214.098	AAA,Bac_DnaA,Bac_DnaA_C,IstB_IS21	GO:0005524,GO:0006270,GO:0006275,GO:0043565
MT_RS00010	125.856	132.107	229.111	258.708	190.017	179.679	204.38	213.04	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3	GO:0003677,GO:0003887,GO:0006260,GO:0008408,GO:0009360
MT_RS00015	27.5633	36.8667	48.1518	37.0919	42.9466	41.2882	39.4501	27.9059	AAA_23,SMC_N	
MT_RS00020	76.8428	78.0256	106.109	84.8457	80.4565	82.3476	88.9911	69.1351	DciA	
MT_RS00025	305.519	347.517	323.132	296.241	311.815	326.088	290.125	258.195	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim	GO:0003677,GO:0003918,GO:0005524,GO:0006265
MT_RS00030	245.305	282.232	280.842	262.258	274.729	283.263	252.944	236.068	DNA_gyraseA_C,DNA_topoisoIV	GO:0003677,GO:0003916,GO:0003918,GO:0005524,GO:0006265
MT_RS00035	164.7	167.207	195.308	205.551	212.88	214.607	169.22	196.239	DUF3566	
MT_RS00050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS00055	113.992	102.856	169.418	207.276	155.358	153.418	171.085	252.214	CwsA	
MT_RS00060	964.186	941.754	2400.23	2539.01	1773.75	1869.2	2501.74	2532.21	Pro_isomerase	GO:0000413,GO:0003755
MT_RS00065	111.954	144.652	323.118	296.847	156.792	187.125	272.294	229.195	bPH_6	
MT_RS00070	36.5966	53.3618	64.7458	65.3644	61.1073	39.2066	42.9928	48.2897	CrgA	
MT_RS00075	299.757	266.362	301.869	374.851	306.981	280.21	345.894	357.995	DUF881	
MT_RS00080	108.143	128.365	197.486	146.316	166.167	184.675	176.127	171.223	GATase,Peptidase_C26	GO:0016787
MT_RS00085	81.1158	102.082	170.286	115.557	106.829	132.114	125.205	99.8708	PASTA,Pkinase,Pkinase_Tyr	GO:0004672,GO:0005524,GO:0006468
MT_RS00090	188.777	182.873	281.942	242.668	188.621	224.814	228.635	207.459	Kdo,Pkinase,Pkinase_Tyr	GO:0004672,GO:0005524,GO:0006468
MT_RS00095	88.7063	100.31	203.96	152.375	122.116	141.798	172.539	136.018	Transpeptidase	GO:0008658
MT_RS00100	98.2057	114.295	215.153	169.699	121.377	154.736	173.915	156.813	FTSW_RODA_SPOVE	GO:0016021,GO:0051301
MT_RS00105	144.572	153.731	257.523	216.178	160.943	184.239	218.532	171.944	PP2C,PP2C_2	GO:0003824
MT_RS00110	212.824	193.3	386.575	369.042	253.245	274.825	318.954	301.412	FHA,Yop-YscD_cpl	GO:0005515
MT_RS00115	530.426	556.258	746.955	702.882	623.22	619.331	649.656	710.263	DUF3662,FHA,Yop-YscD_cpl	GO:0005515
MT_RS00125	44.8702	47.8401	65.1453	59.1347	57.9809	64.1291	61.2267	54.3056	FMN_dh,NMO	GO:0016491,GO:0018580,GO:0055114
MT_RS00130	15.933	15.246	45.0902	49.1783	25.8652	31.3649	40.9449	41.3906	Whib	
MT_RS00135	76.7122	82.8908	134.659	119.05	98.3829	114.195	99.9265	90.962	HTH_3,HTH_31	
MT_RS00140	108.818	103.564	167.005	163.729	131.953	146.361	153.249	138.199	NLPC_P60	
MT_RS00145	292.346	269.38	553.129	466.44	406.345	404.8	461.176	429.682	DUF4226	
MT_RS00150	43.4028	53.9084	74.8422	61.7755	56.5165	67.7274	69.304	54.4056	DUF4226	
MT_RS00155	271.209	251.928	138.105	141.284	217.82	190.898	223.027	174.103	T7SS_ESX_EspC	GO:0009306
MT_RS00160	139.051	116.928	95.3975	67.1693	88.2408	82.9484	85.761	89.8155	DUF2694	
MT_RS00170	309.615	317.387	482.064	374.792	349.801	452.296	470.954	324.253	DUF2710	
MT_RS00175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS00180	13.71	14.9005	71.3233	67.6868	20.1715	22.467	75.6046	70.6707	Acetyltransf_6,Aminotran_1_2,Beta_elim_lyase,Cys_Met_Meta_PP,DegT_DnrJ_EryC1	GO:0006520,GO:0009058,GO:0016829,GO:0019346,GO:0030170
MT_RS00185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PP-binding	
MT_RS00190	21.7384	15.8485	128.838	140.941	41.5409	31.207	167.528	193.728	SnoaL_2	
